student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade
294,Female,5.4,80.7,6.5,Masters,Yes,Yes,Yes,76.7,93.7,A
513,Male,5.3,90.6,6.5,,Yes,Yes,No,75.5,88.9,B
104,Female,4.8,97.6,4.5,High School,Yes,No,No,60.9,92.7,A
23,Female,3.7,81.8,-2,High School,No,No,No,74.8,73.4,C
453,Female,5,84.7,9.5,High School,Yes,No,No,66.7,92.8,A
469,Male,5.6,95,,Bachelors,Yes,No,No,69.9,100,A
554,Female,2.7,86,6.3,High School,Yes,Yes,No,62.2,83.4,B
2,Female,6.3,100,5.7,High School,Yes,Yes,Yes,75.5,100,A
652,Female ,1.3,130,7,Bachelors,Yes,No,No,65.7,73.3,C
633,Male,3,91.4,6.3,Bachelors,Yes,Yes,Yes,76.6,89.4,B
938,Male,4.2,100,7.1,PhD,No,Yes,Yes,65.6,93.1,A
638,Male,6.7,71.9,8.2,High School,Yes,No,No,68.6,99.9,A
111,Female,1.9,100,6.5,High School,Yes,No,Yes,56.8,61.7,D
851,Male,6,85.1,8,Bachelors,Yes,No,Yes,81.2,99.5,A
275,Male,2.6,98.2,5.4,High School,No,Yes,No,59.6,74.4,C
917,Female,3.2,81.2,7.1,Masters,Yes,Yes,Yes,79.3,88.1,B
959,Female,4.9,63.5,5.6,Bachelors,Yes,Yes,No,73,87.6,B
660,Female,4.8,96.2,4.3,Masters,Yes,Yes,Yes,45.7,85.4,B
462,Male ,7.2,76.3,5.8,Bachelors,Yes,No,No,81.5,100,A
78,Female ,3.8,76.5,5.3,Bachelors,Yes,Yes,No,72.3,79.3,C
43,Female,5.1,82.8,8.1,Bachelors,Yes,Yes,No,95.7,100,A
329,Female,3.4,79.6,7.2,High School,Yes,Yes,No,62.6,63.7,D
756,Female,5.6,85.5,4.2,Bachelors,Yes,Yes,Yes,57.3,89.8,B
198,Female,6.9,85.6,8.3,Bachelors,Yes,Yes,No,67.3,92.2,A
654,Male,5.1,67.3,6.6,Bachelors,No,Yes,Yes,58.8,74.8,C
635,Female,4.3,85.6,8.2,High School,Yes,No,No,61.1,76,C
772,Male ,6.9,81.8,6.9,,Yes,Yes,Yes,63.8,91.6,A
682,Male,5.2,83.7,6.8,PhD,Yes,No,No,65.5,93.9,A
856,Male,3.2,,10,PhD,Yes,No,Yes,73.8,79,C
872,Female,4.1,80.8,5.9,High School,Yes,Yes,Yes,76.9,92.6,A
740,Female,1.8,90.5,7.7,High School,Yes,Yes,No,60,81.8,B
564,Male,3.9,84.5,4.8,High School,No,No,Yes,84.3,78.7,C
46,Female,0.5,93.2,5.6,High School,No,No,Yes,83.9,61.8,D
223,Female,0.8,88.2,7.9,High School,No,No,Yes,66.8,70.5,C
177,Male,-3,60.8,,High School,Yes,Yes,No,65,89.2,B
15,Female,1.1,74.5,5.9,Masters,Yes,Yes,Yes,71,73.9,C
295,Female,4.6,89,7.6,Masters,Yes,No,No,79,100,A
214,Male,4.1,77.7,6.2,High School,Yes,Yes,Yes,52.1,78.5,C
791,Female,1,68.9,5,High School,Yes,Yes,No,77.6,57.6,F
506,Male,4.3,85.1,,High School,Yes,Yes,Yes,84.7,100,A
421,Female,3.8,87.7,6.7,Bachelors,Yes,Yes,Yes,54,69.9,D
404,Male,1,98.4,7,Bachelors,Yes,No,No,69.9,86.5,B
606,Male,0.5,92.5,7.5,High School,Yes,No,No,76.2,76.4,C
842,Female,3.3,79,8.3,Bachelors,Yes,Yes,No,70.7,79.2,C
285,Female ,5.4,82.6,6,Masters,Yes,Yes,Yes,52.9,83.3,B
102,Female,1.9,67.4,6.7,Bachelors,Yes,Yes,Yes,75.5,66.3,D
602,Female,4.8,90.2,6.9,High School,Yes,No,No,67.8,95.1,A
124,Male,2.3,99.8,5.2,Bachelors,Yes,Yes,No,74.1,88.1,B
